tinyxml2,
stunnel,
ldns,
haproxy,
python-outcome,no yaml
python-pycdlib,
xz,
fio,
zlib,
bird,
sysstat,
libpaper,
iio-sensor-proxy,
hadoop-3.1,
colm,no yaml
babeld,no yaml
vdo,
annobin,
mybatis,
valgrind,
psmisc,
crash-gcore-command,
risc-v-kernel,
texlive-split-m,
texlive-split-n,
texlive-split-o,
texlive-split-p,
texlive-split-q,
texlive-split-r,
texlive-split-s,
texlive-split-t,
texlive-split-u,
texlive-split-v,
texlive-split-w,
texlive-base,
asymptote,no yaml
texlive-split-y,
texinfo,
psutils,
texlive-split-z,no yaml
texlive-split-x,
texlive,
texlive-filesystem,
texlive-split-a,
texlive-split-b,
texlive-split-c,
texlive-split-d,
texlive-split-e,
texlive-split-f,
texlive-split-g,
texlive-split-h,
texlive-split-i,
texlive-split-j,
texlive-split-k,
texlive-split-l,
python-hole,no yaml
python-geomet,no yaml
python-genshi,
libftdi,
lirc,
vlc,no yaml
bazel,
activemq,
python-pyTelegramBotAPI,no yaml
python-exif,
eclipse,no yaml
rubygem-ffi,
python-mnemonic,no yaml
ltrace,
fcitx-libpinyin,
wildfly-elytron,
numactl,
samba,
muffin,
cjs,
cinnamon-translations,
cinnamon-themes,
cinnamon-settings-daemon,
cinnamon-session,
cinnamon-screensaver,
cinnamon-menu,no yaml
cinnamon-desktop,
cinnamon-control-center,
cinnamon,
python-dpkt,no yaml
fwupd,
lxc,
python-ddt,no yaml
iproute,
mrtg,
fakeroot,
accumulo,
gstreamer1-plugins-base,
nano,
python-mne-bids,no yaml
dde-file-manager,
deepin-editor,
pipewire,
python-mne,no yaml
clibcni,
python-lmdb,no yaml
maildrop,
python-limits,no yaml
lcr,
swt-chart,
openssl,
libtevent,
libtalloc,
libtdb,
libldb,
python-watchdog,
startdde,
gimp,
dde-daemon,
openjdk-1.8.0,no yaml
dde-api,
authselect,
python-sushy,no yaml
pyxdg,
zinc,no yaml
python-supervisor,no yaml
openmpi,no yaml
crash-trace-command,
deepin-desktop-base,
glslang,no yaml
python-unittest2,
keepalived,
aom,no yaml
ceph,
tycho,
python-texext,no yaml
python-rope,
pigz,
opencc,
motif,
courier-unicode,
python-toolz,no yaml
jsch,no yaml
eclipse-egit,no yaml
python-tinyrpc,no yaml
jsoup,no yaml
cmake,
python-vulture,
java-service-wrapper,
nss,
firefox,no yaml
python-tinydb,no yaml
rust-cbindgen,no yaml
ncdu,no yaml
qt5-qtwebengine,
eclipse-jgit,
htop,
zstd,
promu,no yaml
python-Pympler,no yaml
pyparted,
unrtf,
gssproxy,
python-latexcodec,no yaml
mksh,
fish,
mobile-broadband-provider-info,
physfs,
perl-IO-Tty,no yaml
perl-libwww-perl,
perl-B-Keywords,no yaml
pv,
pinentry,
mtr,
mtools,
iperf3,
gzip,
gsm,
deepin-clone,
eigen3,no yaml
scotch,no yaml
python-btrfs,no yaml
hdf5,
eclipse-ecf,
batik,
squid,
perl-Archive-Zip,
lldb,
armadillo,no yaml
perl-GD,
python-aiosmtpd,
yaml-cpp,
xterm,
xorg-x11-xauth,
thunderbird,no yaml
nodejs-async,
lib-shim-v2,no yaml
mockito,
perl-Alien-Build,no yaml
pulseaudio,
rdma-core,
apache-poi,
apache-commons-beanutils,
python-sphinx-notfound-page,no yaml
python-sphinxcontrib-bibtex,no yaml
python-quantities,no yaml
python_cmake_module,
python-gnocchiclient,no yaml
python-blessings,no yaml
python-astropy,no yaml
python-oslo.vmware,no yaml
python-pybtex,no yaml
python-sysv-ipc,no yaml
python-lz4,no yaml
python-clufter,no yaml
python-pybtex-docutils,no yaml
python-pypiserver,no yaml
python-setuptools-declarative-requirements,no yaml
python-setuptools-declarati...,no yaml
python-capturer,no yaml
pybind11,
numpy,
python-flake8-logging-format,no yaml
python-hkdf,no yaml
python-hstspreload,no yaml
python-zarr,no yaml
wxPython,no yaml
nodejs-is-symbol,
nodejs-is-regex,
vid.stab,no yaml
python-stem,no yaml
golang,
python-pycurl,
python-colour,no yaml
python-httptools,no yaml
python-iptools,no yaml
python-d2to1,no yaml
python-openstackdocstheme,no yaml
python-FormEncode,no yaml
python-lightgbm,no yaml
python-pytest-repeat,no yaml
python-leather,no yaml
python-periodictable,no yaml
python-sphobjinv,no yaml
python-precis_i18n,no yaml
python-aiosnmp,no yaml
python-ns1-python,no yaml
python-pytest-helpers-namespace,no yaml
python-pytest-helpers-names...,no yaml
python-firehose,no yaml
aws-sdk-java,no yaml
python-smmap,
python-lockfile,no yaml
protobuf,
perl-CGI,
python-dateutil,
pytorch,
python-which,
gdb,
python-simpleeval,no yaml
python-bitstring,no yaml
python-restructuredtext-lint,no yaml
rust-packaging,
rust-srpm-macros,no yaml
python-mailer,no yaml
python-musicbrainzngs,no yaml
python-arpy,no yaml
python-requests-gssapi,no yaml
ptpython,no yaml
iSulad,
emacs,
grub2,
libaio,
shaderc,no yaml
gawk,
container-selinux,no yaml
libnice,
fakechroot,
syscontainer-tools,
xorg-x11-xbitmaps,no yaml
python-fixtures,
passenger,
mariadb-connector-c,
musl,no yaml
gc,
python-pandas,
libgusb,
abseil-cpp,
python-markdown,
aide,
libjpeg-turbo,
ruby,
python-hypothesis,
python-testtools,
libepoxy,
mutter,
openjdk-latest,
openjdk-11,
dblatex,
glm,no yaml
asio,
qt5-qtwebkit,
color-filesystem,
zbar,
lwip,no yaml
ypserv,
ffmpeg,no yaml
python-qt5,
socat,
zenity,
qt5-qt3d,
zimg,no yaml
ntp,
go-bindata,
webrtc-audio-processing,
enchant2,
eclipse-emf,
apache-commons-jexl,
acpica-tools,
mysql,
ppp,
libffado,no yaml
amtk,no yaml
adwaita-icon-theme,
afflib,
dbus,
adcli,
jnr-netdb,
gmetrics,no yaml
jnr-enxio,
rubygem-puma,
nodejs,
libuv,
erlang-erlydtl,
chromium,no yaml
nghttp2,
opusfile,
netty,
qt5-qtlocation,
kubernetes,no yaml
systemd,
derby,
tycho-extras,
qt5-qtdeclarative,
harfbuzz,
live555,no yaml
libmatroska,no yaml
tracker-miners,
tracker,
mvapich2,
tzdata,
gtk3,
ima-evm-utils,
e2fsprogs,
icu,
libdvbpsi,no yaml
mina-ftpserver,
libqmi,
openblas,
log4j12,no yaml
node_exporter,
apache-commons-exec,no yaml
xnio,no yaml
socket_wrapper,
libtool,
mxparser,no yaml
gstreamer1-plugins-good,
jasper,
evince,
rubygem-shoulda,
telepathy-glib,
python-httpretty,
scala,no yaml
grizzly,
gpars,no yaml
google-gson,no yaml
easymock,no yaml
tensorflow,
tog-pegasus,
libdnf,
dnf,
zchunk,no yaml
make,
gstreamer1-plugins-bad-free,
gstreamer1-libav,no yaml
gstreamer1,
flatpak,
zsh,
ostree,
perl,
rpm-ostree,no yaml
clang,
sbt,no yaml
byteman,no yaml
antlr3,no yaml
varnish,
nodejs-transformers,
hunspell,
mesa,
folks,
mpich,
uglify-js,
os-maven-plugin,
shared-mime-info,
oneDNN,no yaml
rustup,no yaml
node-gyp,
